Cell_Lat,Cell_Lon,Mes,media_focos_mes_hist
-18.9,-51.0,2,0.4545454545454545
-18.9,-51.0,3,0.2727272727272727
-18.9,-51.0,4,0.0909090909090909
-18.9,-51.0,6,0.7272727272727273
-18.9,-51.0,7,0.7272727272727273
-18.9,-51.0,8,0.7272727272727273
-18.9,-51.0,9,0.5454545454545454
-18.9,-51.0,10,0.5454545454545454
-18.9,-51.0,11,0.8181818181818182
-18.9,-51.0,12,0.5454545454545454
-18.9,-50.9,6,0.2727272727272727
-18.9,-50.9,7,0.0909090909090909
-18.9,-50.9,8,0.0909090909090909
-18.9,-50.9,9,0.1818181818181818
-18.9,-50.9,10,0.0909090909090909
-18.9,-50.8,7,0.0909090909090909
-18.9,-50.8,8,0.0909090909090909
-18.9,-50.8,9,0.1818181818181818
-18.8,-52.3,1,0.0909090909090909
-18.8,-52.3,2,0.0909090909090909
-18.8,-52.3,6,0.2727272727272727
-18.8,-52.3,7,0.1818181818181818
-18.8,-52.3,8,0.1818181818181818
-18.8,-52.3,9,0.5454545454545454
-18.8,-52.3,10,0.2727272727272727
-18.8,-52.3,11,0.4545454545454545
-18.8,-52.2,1,0.0909090909090909
-18.8,-52.2,2,0.4545454545454545
-18.8,-52.2,3,0.1818181818181818
-18.8,-52.2,7,0.1818181818181818
-18.8,-52.2,8,0.1818181818181818
-18.8,-52.2,9,0.2727272727272727
-18.8,-52.2,10,0.1818181818181818
-18.8,-52.1,1,0.2727272727272727
-18.8,-52.1,3,0.2727272727272727
-18.8,-52.1,4,0.0909090909090909
-18.8,-52.1,6,0.0909090909090909
-18.8,-52.1,8,0.1818181818181818
-18.8,-52.1,9,0.4545454545454545
-18.8,-52.1,11,0.3636363636363636
-18.8,-52.1,12,0.4545454545454545
-18.8,-52.0,1,0.2727272727272727
-18.8,-52.0,2,0.4545454545454545
-18.8,-52.0,4,0.1818181818181818
-18.8,-52.0,5,1.7272727272727273
-18.8,-52.0,6,0.7272727272727273
-18.8,-52.0,7,0.5454545454545454
-18.8,-52.0,8,0.7272727272727273
-18.8,-52.0,9,0.6363636363636364
-18.8,-52.0,10,0.2727272727272727
-18.8,-52.0,12,0.0909090909090909
-18.8,-51.9,1,0.4545454545454545
-18.8,-51.9,2,0.3636363636363636
-18.8,-51.9,3,0.2727272727272727
-18.8,-51.9,5,0.2727272727272727
-18.8,-51.9,7,0.1818181818181818
-18.8,-51.9,9,0.5454545454545454
-18.8,-51.9,10,0.1818181818181818
-18.8,-51.9,11,0.1818181818181818
-18.8,-51.9,12,0.2727272727272727
-18.8,-51.8,1,0.5454545454545454
-18.8,-51.8,2,0.5454545454545454
-18.8,-51.8,3,0.6363636363636364
-18.8,-51.8,4,0.3636363636363636
-18.8,-51.8,5,0.3636363636363636
-18.8,-51.8,6,0.7272727272727273
