Municipio,Mes,media_focos_mes_hist
PANAMÁ,3,1.6153846153846154
PARANAIGUARA,3,2.857142857142857
PARAÚNA,3,2.7346938775510203
PEROLÂNDIA,3,1.1428571428571428
PETROLINA DE GOIÁS,3,1.0
PILAR DE GOIÁS,3,2.833333333333333
PIRACANJUBA,3,1.1428571428571428
PIRANHAS,3,2.7058823529411766
PIRENÓPOLIS,3,2.0
PIRES DO RIO,3,1.25
PLANALTINA,3,4.675675675675675
PONTALINA,3,1.3
PORANGATU,3,1.8888888888888888
PORTEIRÃO,3,1.9230769230769231
PORTELÂNDIA,3,1.7777777777777777
POSSE,3,2.107142857142857
PROFESSOR JAMIL,3,1.25
QUIRINÓPOLIS,3,2.03125
RIALMA,3,1.5
RIANÁPOLIS,3,1.0
RIO QUENTE,3,1.3333333333333333
RIO VERDE,3,2.0657894736842106
RUBIATABA,3,2.857142857142857
SANCLERLÂNDIA,3,5.333333333333333
SANTA BÁRBARA DE GOIÁS,3,1.0
SANTA CRUZ DE GOIÁS,3,1.625
SANTA FÉ DE GOIÁS,3,2.081081081081081
SANTA HELENA DE GOIÁS,3,1.6538461538461535
SANTA ISABEL,3,1.2
SANTA RITA DO ARAGUAIA,3,2.0
SANTA RITA DO NOVO DESTINO,3,1.0
SANTA ROSA DE GOIÁS,3,1.0
SANTA TEREZA DE GOIÁS,3,1.0
SANTA TEREZINHA DE GOIÁS,3,2.875
SANTO ANTÔNIO DA BARRA,3,1.6875
SANTO ANTÔNIO DE GOIÁS,3,0.0
SANTO ANTÔNIO DO DESCOBERTO,3,2.6666666666666665
SENADOR CANEDO,3,1.1666666666666667
SERRANÓPOLIS,3,3.325
SILVÂNIA,3,1.8
SIMOLÂNDIA,3,2.0
SÃO DOMINGOS,3,2.3043478260869565
SÃO FRANCISCO DE GOIÁS,3,1.0
SÃO JOÃO D'ALIANÇA,3,2.911111111111111
SÃO JOÃO DA PARAÚNA,3,1.0
